Profile	ID	A	I_YY	I_ZZ	As_y	As_z	It	Ip	Mass	Shear_center_y	Shear_center_z
HEA100	19	0.002124	3.49E-06	1.34E-06	1.60E-03	7.56E-04	5.20E-08	4.83E-06	16.7	0	0
HEA120	20	0.002534	6.06E-06	2.31E-06	1.92E-03	8.46E-04	5.96E-08	8.37E-06	19.9	0	0
HEA140	21	0.003142	1.03E-05	3.89E-06	2.38E-03	1.01E-03	8.03E-08	1.42E-05	24.7	0	0
HEA160	22	0.003877	1.67E-05	6.16E-06	2.88E-03	1.32E-03	1.18E-07	2.29E-05	30.4	0	0
HEA180	23	0.004525	2.51E-05	9.25E-06	3.42E-03	1.45E-03	1.47E-07	3.43E-05	35.5	0	0
HEA200	24	0.005383	3.69E-05	1.34E-05	4.00E-03	1.81E-03	2.04E-07	5.03E-05	42.3	0	0
HEA220	25	0.006434	5.41E-05	1.96E-05	4.84E-03	2.07E-03	2.81E-07	7.37E-05	50.5	0	0
HEA240	26	0.007684	7.76E-05	2.77E-05	5.76E-03	2.52E-03	4.10E-07	1.05E-04	60.3	0	0
HEA260	27	0.008682	1.05E-04	3.67E-05	6.50E-03	2.88E-03	5.20E-07	1.41E-04	68.2	0	0
HEA280	28	0.009726	1.37E-04	4.76E-05	7.28E-03	3.17E-03	6.14E-07	1.84E-04	76.4	0	0
HEA300	29	0.011253	1.83E-04	6.31E-05	8.40E-03	3.73E-03	8.42E-07	2.46E-04	88.3	0	0
HEA320	30	0.012437	2.29E-04	6.99E-05	9.30E-03	4.11E-03	1.09E-06	2.99E-04	97.6	0	0
HEA340	31	0.013347	2.77E-04	7.44E-05	9.90E-03	4.50E-03	1.29E-06	3.51E-04	104.8	0	0
HEA360	32	0.014276	3.31E-04	7.89E-05	1.05E-02	4.90E-03	1.51E-06	4.10E-04	112.1	0	0
HEA400	33	0.015898	4.51E-04	8.56E-05	1.14E-02	5.73E-03	1.91E-06	5.36E-04	124.8	0	0
HEA450	34	0.017803	6.37E-04	9.47E-05	1.26E-02	6.58E-03	2.49E-06	7.32E-04	139.8	0	0
HEA500	35	0.019754	8.70E-04	1.04E-04	1.38E-02	7.47E-03	3.18E-06	9.73E-04	155.1	0	0
HEA550	36	0.021176	1.12E-03	1.08E-04	1.44E-02	8.37E-03	3.61E-06	1.23E-03	166.2	0	0
HEA600	37	0.022646	1.41E-03	1.13E-04	1.50E-02	9.32E-03	4.08E-06	1.52E-03	177.8	0	0
HEA650	38	0.024164	1.75E-03	1.17E-04	1.56E-02	1.03E-02	4.59E-06	1.87E-03	189.7	0	0
HEA700	39	0.026048	2.15E-03	1.22E-04	1.62E-02	1.17E-02	5.23E-06	2.27E-03	204.5	0	0
HEA800	40	0.028583	3.03E-03	1.26E-04	1.68E-02	1.39E-02	6.10E-06	3.16E-03	224.4	0	0
HEA900	41	0.032053	4.22E-03	1.36E-04	1.80E-02	1.63E-02	7.51E-06	4.36E-03	251.6	0	0
HEA1000	42	0.034685	5.54E-03	1.40E-04	1.86E-02	1.85E-02	8.37E-06	5.68E-03	272.3	0	0
