Profile	ID	A	I_YY	I_ZZ	As_y	As_z	It	Ip	Mass	Shear_center_y	Shear_center_z
HEB100	43	0.002604	4.50E-06	1.67E-06	2.00E-03	9.04E-04	9.31E-08	6.17E-06	20.40	0	0
HEB120	44	0.003401	8.64E-06	3.18E-06	2.64E-03	1.10E-03	1.39E-07	1.18E-05	26.70	0	0
HEB140	45	0.004296	1.51E-05	5.50E-06	3.36E-03	1.31E-03	2.02E-07	2.06E-05	33.70	0	0
HEB160	46	0.005425	2.49E-05	8.89E-06	4.16E-03	1.76E-03	3.12E-07	3.38E-05	42.60	0	0
HEB180	47	0.006525	3.83E-05	1.36E-05	5.04E-03	2.02E-03	4.22E-07	5.19E-05	51.20	0	0
HEB200	48	0.007808	5.70E-05	2.00E-05	6.00E-03	2.48E-03	5.96E-07	7.70E-05	61.30	0	0
HEB220	49	0.009104	8.09E-05	2.84E-05	7.04E-03	2.79E-03	7.70E-07	1.09E-04	71.50	0	0
HEB240	50	0.010599	1.13E-04	3.92E-05	8.16E-03	3.32E-03	1.04E-06	1.52E-04	83.20	0	0
HEB260	51	0.011844	1.49E-04	5.14E-05	9.10E-03	3.76E-03	1.26E-06	2.01E-04	93.00	0	0
HEB280	52	0.013136	1.93E-04	6.60E-05	1.01E-02	4.11E-03	1.45E-06	2.59E-04	103.10	0	0
HEB300	53	0.014908	2.52E-04	8.56E-05	1.14E-02	4.74E-03	1.87E-06	3.37E-04	117.00	0	0
HEB320	54	0.016134	3.08E-04	9.24E-05	1.23E-02	5.18E-03	2.29E-06	4.01E-04	126.70	0	0
HEB340	55	0.017090	3.67E-04	9.69E-05	1.29E-02	5.61E-03	2.62E-06	4.64E-04	134.20	0	0
HEB360	56	0.018063	4.32E-04	1.01E-04	1.35E-02	6.06E-03	2.98E-06	5.33E-04	141.80	0	0
HEB400	57	0.019778	5.77E-04	1.08E-04	1.44E-02	7.00E-03	3.61E-06	6.85E-04	155.30	0	0
HEB450	58	0.021798	7.99E-04	1.17E-04	1.56E-02	7.97E-03	4.49E-06	9.16E-04	171.10	0	0
HEB500	59	0.023864	1.07E-03	1.26E-04	1.68E-02	8.98E-03	5.50E-06	1.20E-03	187.30	0	0
HEB550	60	0.025406	1.37E-03	1.31E-04	1.74E-02	1.00E-02	6.12E-06	1.50E-03	199.40	0	0
HEB600	61	0.026996	1.71E-03	1.35E-04	1.80E-02	1.11E-02	6.80E-06	1.85E-03	211.90	0	0
HEB650	62	0.028634	2.11E-03	1.40E-04	1.86E-02	1.22E-02	7.52E-06	2.25E-03	224.80	0	0
HEB700	63	0.030638	2.57E-03	1.44E-04	1.92E-02	1.37E-02	8.42E-06	2.71E-03	240.50	0	0
HEB800	64	0.033418	3.59E-03	1.49E-04	1.98E-02	1.62E-02	9.62E-06	3.74E-03	262.30	0	0
HEB900	65	0.037128	4.94E-03	1.58E-04	2.10E-02	1.89E-02	1.15E-05	5.10E-03	291.50	0	0
HEB1000	66	0.040005	6.45E-03	1.63E-04	2.16E-02	2.12E-02	1.27E-05	6.61E-03	314.00	0	0
