Profile	ID	A	I_YY	I_ZZ	As_y	As_z	It	Ip	Mass	Shear_center_y	Shear_center_z
HEM100	67	0.005324	1.14E-05	3.99E-06	4.24E-03	1.80E-03	6.73E-07	1.54E-05	41.80	0	0
HEM120	68	0.006641	2.02E-05	7.03E-06	5.29E-03	2.12E-03	9.05E-07	2.72E-05	52.10	0	0
HEM140	69	0.008056	3.29E-05	1.14E-05	6.42E-03	2.45E-03	1.19E-06	4.44E-05	63.20	0	0
HEM160	70	0.009705	5.10E-05	1.76E-05	7.64E-03	3.08E-03	1.61E-06	6.86E-05	76.20	0	0
HEM180	71	0.011325	7.48E-05	2.58E-05	8.93E-03	3.47E-03	2.01E-06	1.01E-04	88.90	0	0
HEM200	72	0.013128	1.06E-04	3.65E-05	1.03E-02	4.10E-03	2.58E-06	1.43E-04	103.10	0	0
HEM220	73	0.014944	1.46E-04	5.01E-05	1.18E-02	4.53E-03	3.14E-06	1.96E-04	117.30	0	0
HEM240	74	0.019959	2.43E-04	8.15E-05	1.59E-02	6.01E-03	6.27E-06	3.24E-04	156.70	0	0
HEM260	75	0.021964	3.13E-04	1.05E-04	1.74E-02	6.69E-03	7.22E-06	4.18E-04	172.40	0	0
HEM280	76	0.024016	3.96E-04	1.32E-04	1.90E-02	7.20E-03	8.09E-06	5.27E-04	188.50	0	0
HEM300	77	0.030308	5.92E-04	1.94E-04	2.42E-02	9.05E-03	1.42E-05	7.86E-04	237.90	0	0
HEM320	78	0.031205	6.81E-04	1.97E-04	2.47E-02	9.49E-03	1.51E-05	8.78E-04	245.00	0	0
HEM340	79	0.031583	7.64E-04	1.97E-04	2.47E-02	9.86E-03	1.52E-05	9.61E-04	247.90	0	0
HEM360	80	0.031881	8.49E-04	1.95E-04	2.46E-02	1.02E-02	1.52E-05	1.04E-03	250.30	0	0
HEM400	81	0.032578	1.04E-03	1.93E-04	2.46E-02	1.10E-02	1.52E-05	1.23E-03	255.70	0	0
HEM450	82	0.033544	1.32E-03	1.93E-04	2.46E-02	1.20E-02	1.54E-05	1.51E-03	263.30	0	0
HEM500	83	0.03443	1.62E-03	1.92E-04	2.45E-02	1.30E-02	1.55E-05	1.81E-03	270.30	0	0
HEM550	84	0.035438	1.98E-03	1.92E-04	2.45E-02	1.40E-02	1.56E-05	2.17E-03	278.20	0	0
HEM600	85	0.036366	2.37E-03	1.90E-04	2.44E-02	1.50E-02	1.57E-05	2.56E-03	285.50	0	0
HEM650	86	0.037374	2.82E-03	1.90E-04	2.44E-02	1.60E-02	1.59E-05	3.01E-03	293.40	0	0
HEM700	87	0.038302	3.29E-03	1.88E-04	2.43E-02	1.70E-02	1.60E-05	3.48E-03	300.70	0	0
HEM800	88	0.040427	4.43E-03	1.86E-04	2.42E-02	1.94E-02	1.66E-05	4.61E-03	317.30	0	0
HEM900	89	0.042363	5.70E-03	1.85E-04	2.42E-02	2.14E-02	1.69E-05	5.89E-03	332.50	0	0
HEM1000	90	0.044421	7.22E-03	1.85E-04	2.42E-02	2.35E-02	1.72E-05	7.41E-03	348.70	0	0
