Profile	ID	A	I_YY	I_ZZ	As_y	As_z	It	Ip	Mass	Shear_center_y	Shear_center_z
IPE80	1	0.000764	8.01E-07	8.49E-08	4.78E-04	3.58E-04	6.73E-09	8.86E-07	6.0	0	0
IPE100	2	0.001032	1.71E-06	1.59E-07	6.27E-04	5.08E-04	1.15E-08	1.87E-06	8.1	0	0
IPE120	3	0.001321	3.18E-06	2.77E-07	8.06E-04	6.31E-04	1.69E-08	3.45E-06	10.4	0	0
IPE140	4	0.001643	5.41E-06	4.49E-07	1.01E-03	7.64E-04	2.40E-08	5.86E-06	12.9	0	0
IPE160	5	0.002009	8.69E-06	6.83E-07	1.21E-03	9.66E-04	3.53E-08	9.38E-06	15.8	0	0
IPE180	6	0.002395	1.32E-05	1.01E-06	1.46E-03	1.13E-03	4.72E-08	1.42E-05	18.8	0	0
IPE200	7	0.002848	1.94E-05	1.42E-06	1.70E-03	1.40E-03	6.85E-08	2.09E-05	22.4	0	0
IPE220	8	0.003337	2.77E-05	2.05E-06	2.02E-03	1.59E-03	8.98E-08	2.98E-05	26.2	0	0
IPE240	9	0.003912	3.89E-05	2.84E-06	2.35E-03	1.91E-03	1.27E-07	4.18E-05	30.7	0	0
IPE270	10	0.004595	5.79E-05	4.20E-06	2.75E-03	2.21E-03	1.57E-07	6.21E-05	36.1	0	0
IPE300	11	0.005381	8.36E-05	6.04E-06	3.21E-03	2.57E-03	1.98E-07	8.96E-05	42.2	0	0
IPE330	12	0.006261	1.18E-04	7.88E-06	3.68E-03	3.08E-03	2.76E-07	1.26E-04	49.1	0	0
IPE360	13	0.007273	1.63E-04	1.04E-05	4.32E-03	3.51E-03	3.71E-07	1.73E-04	57.1	0	0
IPE400	14	0.008446	2.31E-04	1.32E-05	4.86E-03	4.27E-03	5.04E-07	2.44E-04	66.3	0	0
IPE450	15	0.009882	3.37E-04	1.68E-05	5.55E-03	5.09E-03	6.61E-07	3.54E-04	77.6	0	0
IPE500	16	0.011552	4.82E-04	2.14E-05	6.40E-03	5.99E-03	8.86E-07	5.03E-04	90.7	0	0
IPE550	17	0.013442	6.71E-04	2.67E-05	7.22E-03	7.23E-03	1.22E-06	6.98E-04	105.5	0	0
IPE600	18	0.015598	9.21E-04	3.39E-05	8.36E-03	8.38E-03	1.65E-06	9.55E-04	122.4	0	0
