Profile	ID	A	I_YY	I_ZZ	As_y	As_z	It	Ip	Mass	Shear_center_y	Shear_center_z
RHS 50x30 / 2.6	2000	0.000382	1.218E-07	5.375E-08	0.000143	0.000239	0.000000121	1.7555E-07	3	0	0
RHS 50x30 / 3.2	2001	0.00046	1.421E-07	6.197E-08	0.000173	0.000288	1.419E-07	2.0407E-07	3.61	0	0
RHS 50x30 / 4	2002	0.000559	1.649E-07	7.084E-08	0.00021	0.000349	1.659E-07	2.3574E-07	4.39	0	0
RHS 50x30 / 5	2003	0.000673	1.871E-07	7.888E-08	0.000252	0.000421	1.897E-07	2.6598E-07	5.28	0	0
RHS 60x40 / 2.6	2004	0.000486	2.358E-07	1.244E-07	0.000194	0.000291	2.593E-07	3.602E-07	3.81	0	0
RHS 60x40 / 3.2	2005	0.000588	2.782E-07	1.457E-07	0.000235	0.000353	0.000000308	4.239E-07	4.62	0	0
RHS 60x40 / 4	2006	0.000719	3.283E-07	1.703E-07	0.000288	0.000431	3.666E-07	4.986E-07	5.64	0	0
RHS 60x40 / 5	2007	0.000873	3.809E-07	1.953E-07	0.000349	0.000524	4.298E-07	5.762E-07	6.85	0	0
RHS 60x40 / 6.3	2008	0.001059	4.339E-07	2.192E-07	0.000423	0.000635	4.955E-07	6.531E-07	8.31	0	0
RHS 80x40 / 3.2	2009	0.000716	5.718E-07	1.892E-07	0.000239	0.000477	4.619E-07	0.000000761	5.62	0	0
RHS 80x40 / 4	2010	0.000879	0.000000682	2.224E-07	0.000293	0.000586	5.519E-07	9.044E-07	6.9	0	0
RHS 80x40 / 5	2011	0.001073	8.028E-07	0.000000257	0.000358	0.000715	6.505E-07	1.0598E-06	8.42	0	0
RHS 80x40 / 6.3	2012	0.001311	9.328E-07	2.916E-07	0.000437	0.000874	7.563E-07	1.2244E-06	10.3	0	0
RHS 80x40 / 8	2013	0.001595	0.00000106	3.211E-07	0.000532	0.001064	8.576E-07	1.3811E-06	12.5	0	0
RHS 90x50 / 3.2	2014	0.000844	8.913E-07	3.527E-07	0.000301	0.000543	8.087E-07	0.000001244	6.63	0	0
RHS 90x50 / 4	2015	0.001039	0.000001071	4.195E-07	0.000371	0.000668	9.752E-07	1.4905E-06	8.15	0	0
RHS 90x50 / 5	2016	0.001273	0.000001273	4.921E-07	0.000455	0.000818	0.000001164	1.7651E-06	9.99	0	0
RHS 90x50 / 6.3	2017	0.001563	0.000001499	5.699E-07	0.000558	0.001005	0.000001377	2.0689E-06	12.3	0	0
RHS 90x50 / 8	2018	0.001915	0.000001736	6.458E-07	0.000684	0.001231	0.000001603	2.3818E-06	15	0	0
RHS 100x50 / 3.2	2019	0.000908	0.000001159	3.878E-07	0.000303	0.000605	9.345E-07	1.5468E-06	7.13	0	0
RHS 100x50 / 4	2020	0.001119	0.000001396	4.619E-07	0.000373	0.000746	0.000001128	1.8579E-06	8.78	0	0
RHS 100x50 / 5	2021	0.001373	0.000001665	0.000000543	0.000458	0.000915	0.000001347	0.000002208	10.8	0	0
RHS 100x50 / 6.3	2022	0.001689	0.000001971	6.305E-07	0.000563	0.001126	0.000001597	2.6015E-06	13.3	0	0
RHS 100x50 / 8	2023	0.002075	0.000002299	7.172E-07	0.000692	0.001384	0.000001864	3.0162E-06	16.3	0	0
RHS 100x60 / 3.2	2024	0.000972	0.000001309	5.883E-07	0.000365	0.000608	0.000001285	1.8973E-06	7.63	0	0
RHS 100x60 / 4	2025	0.001199	0.00000158	7.052E-07	0.00045	0.000749	0.000001559	2.2852E-06	9.41	0	0
RHS 100x60 / 5	2026	0.001473	0.000001891	8.359E-07	0.000552	0.000921	0.000001875	2.7269E-06	11.6	0	0
RHS 100x60 / 6.3	2027	0.001815	0.000002248	9.815E-07	0.00068	0.001134	0.000002244	3.2295E-06	14.2	0	0
RHS 100x60 / 8	2028	0.002235	0.000002638	0.000001133	0.000838	0.001397	0.000002654	0.000003771	17.5	0	0
RHS 120x60 / 4	2029	0.001359	0.000002487	8.309E-07	0.000453	0.000906	0.000002007	3.3179E-06	10.7	0	0
RHS 120x60 / 5	2030	0.001673	0.000002992	9.876E-07	0.000558	0.001115	0.000002418	3.9796E-06	13.1	0	0
RHS 120x60 / 6.3	2031	0.002067	0.000003583	0.000001164	0.000689	0.001378	0.0000029	0.000004747	16.2	0	0
RHS 120x60 / 8	2032	0.002555	0.000004247	0.000001351	0.000852	0.001704	0.000003443	0.000005598	20.1	0	0
RHS 120x60 / 10	2033	0.003093	0.000004881	0.000001515	0.001031	0.002062	0.000003957	0.000006396	24.3	0	0
RHS 120x80 / 4	2034	0.001519	0.000003026	0.000001607	0.000608	0.000911	0.000003304	0.000004633	11.9	0	0
RHS 120x80 / 5	2035	0.001873	0.000003654	0.000001929	0.000749	0.001124	0.000004013	0.000005583	14.7	0	0
RHS 120x80 / 6.3	2036	0.002319	0.000004398	0.000002305	0.000927	0.001391	0.000004866	0.000006703	18.2	0	0
RHS 120x80 / 8	2037	0.002875	0.000005253	0.000002726	0.00115	0.001725	0.000005866	0.000007979	22.6	0	0
RHS 120x80 / 10	2038	0.003493	0.000006095	0.000003126	0.001397	0.002096	0.000006876	0.000009221	27.4	0	0
RHS 140x80 / 4	2039	0.001679	0.000004406	0.000001838	0.00061	0.001068	0.000004107	0.000006244	13.2	0	0
RHS 140x80 / 5	2040	0.002073	0.00000534	0.000002211	0.000754	0.001319	0.000004994	0.000007551	16.3	0	0
RHS 140x80 / 6.3	2041	0.002571	0.000006458	0.000002648	0.000935	0.001636	0.000006065	0.000009106	20.2	0	0
RHS 140x80 / 8	2042	0.003195	0.000007763	0.000003142	0.001162	0.002033	0.000007329	0.000010905	25.1	0	0
RHS 140x80 / 10	2043	0.003893	0.000009081	0.000003619	0.001416	0.002477	0.000008621	0.0000127	30.6	0	0
RHS 150x100 / 4	2044	0.001919	0.000006073	0.00000324	0.000768	0.001151	0.000006601	0.000009313	15.1	0	0
RHS 150x100 / 5	2045	0.002373	0.000007387	0.000003923	0.000949	0.001424	0.000008067	0.00001131	18.6	0	0
RHS 150x100 / 6.3	2046	0.002949	0.000008979	0.000004741	0.001179	0.001769	0.000009865	0.00001372	23.1	0	0
RHS 150x100 / 8	2047	0.003675	0.00001087	0.000005693	0.00147	0.002205	0.00001203	0.000016563	28.9	0	0
RHS 150x100 / 10	2048	0.004493	0.00001282	0.000006654	0.001797	0.002696	0.00001432	0.000019474	35.3	0	0
RHS 150x100 / 12.5	2049	0.005457	0.00001488	0.000007631	0.002183	0.003274	0.00001679	0.000022511	42.8	0	0
RHS 160x80 / 4	2050	0.001839	0.000006122	0.00000207	0.000613	0.001226	0.00000493	0.000008192	14.4	0	0
RHS 160x80 / 5	2051	0.002273	0.00000744	0.000002493	0.000758	0.001515	0.000006	0.000009933	17.8	0	0
RHS 160x80 / 6.3	2052	0.002823	0.000009032	0.000002991	0.000941	0.001882	0.000007296	0.000012023	22.2	0	0
RHS 160x80 / 8	2053	0.003515	0.00001091	0.000003558	0.001172	0.002344	0.000008831	0.000014468	27.6	0	0
RHS 160x80 / 10	2054	0.004293	0.00001284	0.000004112	0.001431	0.002862	0.00001041	0.000016952	33.7	0	0
RHS 160x80 / 12.5	2055	0.005207	0.00001485	0.000004647	0.001736	0.003472	0.00001204	0.000019497	40.9	0	0
RHS 180x100 / 4	2056	0.002159	0.000009445	0.000003794	0.000771	0.001388	0.000008521	0.000013239	16.9	0	0
RHS 180x100 / 5	2057	0.002673	0.00001153	0.000004601	0.000955	0.001718	0.00001042	0.000016131	21	0	0
RHS 180x100 / 6.3	2058	0.003327	0.00001407	0.000005572	0.001188	0.002139	0.00001277	0.000019642	26.1	0	0
RHS 180x100 / 8	2059	0.004155	0.00001713	0.000006711	0.001484	0.002671	0.0000156	0.000023841	32.6	0	0
RHS 180x100 / 10	2060	0.005093	0.00002036	0.000007874	0.001819	0.003274	0.00001862	0.000028234	40	0	0
RHS 180x100 / 12.5	2061	0.006207	0.00002385	0.000009076	0.002217	0.00399	0.00002191	0.000032926	48.7	0	0
RHS 200x100 / 4	2062	0.002319	0.00001223	0.000004162	0.000773	0.001546	0.000009834	0.000016392	18.2	0	0
RHS 200x100 / 5	2063	0.002873	0.00001495	0.000005053	0.000958	0.001915	0.00001204	0.000020003	22.6	0	0
RHS 200x100 / 6.3	2064	0.003579	0.00001829	0.000006125	0.001193	0.002386	0.00001475	0.000024415	28.1	0	0
RHS 200x100 / 8	2065	0.004475	0.00002234	0.00000739	0.001492	0.002984	0.00001804	0.00002973	35.1	0	0
RHS 200x100 / 10	2066	0.005493	0.00002664	0.000008688	0.001831	0.003662	0.00002156	0.000035328	43.1	0	0
RHS 200x100 / 12.5	2067	0.006707	0.00003136	0.00001004	0.002236	0.004472	0.00002541	0.0000414	52.7	0	0
RHS 200x100 / 16	2068	0.008301	0.00003678	0.00001147	0.002767	0.005534	0.00002982	0.00004825	65.2	0	0
RHS 200x120 / 6.3	2069	0.003831	0.00002065	0.00000929	0.001436	0.002394	0.00002028	0.00002994	30.1	0	0
RHS 200x120 / 8	2070	0.004795	0.00002529	0.00001128	0.001798	0.002997	0.00002495	0.00003657	37.6	0	0
RHS 200x120 / 10	2071	0.005893	0.00003026	0.00001337	0.00221	0.003683	0.00003001	0.00004363	46.3	0	0
RHS 200x120 / 12.5	2072	0.007207	0.00003576	0.00001562	0.002703	0.004505	0.00003569	0.00005138	56.6	0	0
RHS 250x150 / 6.3	2073	0.004839	0.00004143	0.00001874	0.001814	0.003024	0.00004054	0.00006017	38	0	0
RHS 250x150 / 8	2074	0.006075	0.00005111	0.00002298	0.002278	0.003797	0.00005021	0.00007409	47.7	0	0
RHS 250x150 / 10	2075	0.007493	0.00006174	0.00002755	0.00281	0.004683	0.0000609	0.00008929	58.8	0	0
RHS 250x150 / 12.5	2076	0.009207	0.00007387	0.00003265	0.003453	0.005755	0.00007326	0.00010652	72.3	0	0
RHS 250x150 / 14.2	2077	0.010337	0.00008141	0.00003576	0.003876	0.006461	0.00008102	0.00011717	81.1	0	0
RHS 250x150 / 16	2078	0.011501	0.00008879	0.00003873	0.004313	0.007188	0.00008868	0.00012752	90.3	0	0
RHS 260x180 / 6.3	2079	0.005343	0.00005166	0.00002929	0.002186	0.003157	0.0000581	0.00008095	41.9	0	0
RHS 260x180 / 8	2080	0.006715	0.0000639	0.00003608	0.002747	0.003968	0.00007221	0.00009998	52.7	0	0
RHS 260x180 / 10	2081	0.008293	0.00007741	0.00004351	0.003392	0.0049	0.00008798	0.00012092	65.1	0	0
RHS 260x180 / 12.5	2082	0.010207	0.00009299	0.00005196	0.004176	0.006032	0.0001064	0.00014495	80.1	0	0
RHS 260x180 / 14.2	2083	0.011473	0.0001028	0.00005719	0.004694	0.00678	0.0001182	0.00015999	90.1	0	0
RHS 260x180 / 16	2084	0.012781	0.0001125	0.00006231	0.005229	0.007553	0.0001299	0.00017481	100.3	0	0
