Profile	ID	A	I_YY	I_ZZ	As_y	As_z	It	Ip	Mass	Shear_center_y	Shear_center_z
SHS 40 / 2.6	1000	0.000382	8.797E-08	8.797E-08	0.000191	0.000191	1.403E-07	2.806E-07	3	0	0
SHS 40 / 3.2	1001	0.00046	1.023E-07	1.023E-07	0.00023	0.00023	1.654E-07	3.308E-07	3.61	0	0
SHS 40 / 4	1002	0.000559	1.183E-07	1.183E-07	0.000279	0.000279	1.948E-07	3.896E-07	4.39	0	0
SHS 40 / 5	1003	0.000673	1.337E-07	1.337E-07	0.000337	0.000337	0.000000225	0.00000045	5.28	0	0
SHS 50 / 2.6	1004	0.000486	1.803E-07	1.803E-07	0.000243	0.000243	2.841E-07	5.682E-07	3.81	0	0
SHS 50 / 3.2	1005	0.000588	2.123E-07	2.123E-07	0.000294	0.000294	3.382E-07	6.764E-07	4.62	0	0
SHS 50 / 4	1006	0.000719	2.497E-07	2.497E-07	0.000359	0.000359	4.039E-07	8.078E-07	5.64	0	0
SHS 50 / 5	1007	0.000873	2.888E-07	2.888E-07	0.000437	0.000437	4.756E-07	9.512E-07	6.85	0	0
SHS 50 / 6.3	1008	0.001059	3.276E-07	3.276E-07	0.000529	0.000529	5.519E-07	1.1038E-06	8.31	0	0
SHS 60 / 2.6	1009	0.00059	3.216E-07	3.216E-07	0.000295	0.000295	5.025E-07	0.000001005	4.63	0	0
SHS 60 / 3.2	1010	0.000716	3.816E-07	3.816E-07	0.000358	0.000358	6.019E-07	1.2038E-06	5.62	0	0
SHS 60 / 4	1011	0.000879	4.539E-07	4.539E-07	0.000439	0.000439	7.251E-07	1.4502E-06	6.9	0	0
SHS 60 / 5	1012	0.001073	5.326E-07	5.326E-07	0.000537	0.000537	0.000000864	0.000001728	8.42	0	0
SHS 60 / 6.3	1013	0.001311	6.165E-07	6.165E-07	0.000655	0.000655	0.00000102	0.00000204	10.3	0	0
SHS 60 / 8	1014	0.001595	6.973E-07	6.973E-07	0.000798	0.000798	0.000001182	0.000002364	12.5	0	0
SHS 70 / 3.2	1015	0.000844	6.231E-07	6.231E-07	0.000422	0.000422	9.758E-07	1.9516E-06	6.63	0	0
SHS 70 / 4	1016	0.001039	7.469E-07	7.469E-07	0.000519	0.000519	0.000001182	0.000002364	8.15	0	0
SHS 70 / 5	1017	0.001273	0.000000885	0.000000885	0.000637	0.000637	0.00000142	0.00000284	9.99	0	0
SHS 70 / 6.3	1018	0.001563	0.000001038	0.000001038	0.000781	0.000781	0.000001695	0.00000339	12.3	0	0
SHS 70 / 8	1019	0.001915	0.000001198	0.000001198	0.000958	0.000958	0.000001997	0.000003994	15	0	0
SHS 80 / 3.2	1020	0.000972	9.495E-07	9.495E-07	0.000486	0.000486	0.000001479	0.000002958	7.63	0	0
SHS 80 / 4	1021	0.001199	0.000001145	0.000001145	0.000599	0.000599	0.0000018	0.0000036	9.41	0	0
SHS 80 / 5	1022	0.001473	0.000001366	0.000001366	0.000737	0.000737	0.000002174	0.000004348	11.6	0	0
SHS 80 / 6.3	1023	0.001815	0.000001619	0.000001619	0.000907	0.000907	0.000002615	0.00000523	14.2	0	0
SHS 80 / 8	1024	0.002235	0.000001893	0.000001893	0.001118	0.001118	0.000003117	0.000006234	17.5	0	0
